Points
8.00
8.00
16.00
16.00
8.00
8.00
8.00
8.00
8.00
8.00
16.00
16.00
8.00
8.00
8.00
16.00
8.00
16.00
16.00
16.00
8.00
16.00
8.00
8.00
8.00
16.00
16.00
8.00
8.00
24.00
16.00
16.00
16.00
8.00
8.00
16.00
16.00
16.00
16.00
8.00
8.00
8.00
16.00
16.00
8.00
16.00
8.00
16.00
16.00
16.00
8.00
8.00
8.00
8.00
8.00
16.00
8.00
8.00
16.00
8.00
24.00
8.00
16.00
16.00
8.00
16.00
8.00
32.00
8.00
8.00
16.00
8.00
8.00
8.00
8.00
16.00
8.00
8.00
8.00
8.00
8.00
8.00
16.00
8.00
8.00
8.00
8.00
16.00
16.00
8.00
16.00
8.00
8.00
32.00
8.00
24.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
16.00
8.00
16.00
8.00
8.00
16.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
16.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
16.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
19.50
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
24.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
16.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
16.00
16.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
16.00
8.00
8.00
8.00
8.00
8.00
16.00
24.00
8.00
24.00
8.00
17.50
24.50
8.00
8.00
8.00
8.00
8.00
8.00
16.00
16.00
8.00
8.00
8.00
17.50
8.00
8.00
16.00
8.00
24.00
24.00
8.00
17.50
8.00
8.00
8.00
8.00
8.00
8.00
16.00
8.00
8.00
8.00
16.00
16.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
24.00
24.00
8.00
16.00
8.00
8.00
8.00
8.00
8.00
8.00
16.00
16.00
8.00
8.00
8.00
16.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
16.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
16.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
16.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
16.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
24.00
8.00
8.00
8.00
8.00
16.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
16.00
16.00
8.00
8.00
16.00
8.00
16.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
16.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
16.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
16.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
16.00
16.00
24.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
16.00
8.00
8.00
8.00
8.00
8.00
16.00
8.00
8.00
8.00
8.00
8.00
8.00
8.00
24.00
8.00
8.00
24.00
8.00
16.00
8.00
8.00
8.00
24.00
8.00
8.00
16.00
8.00
8.00
8.00
8.00
8.00
8.00
16.00
8.00
8.00
8.00
8.00
